,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2021-05-05,5,2021-05-05,19.72666666666667,25.413333333333334,73.33333333333333,1004.38,229.0,4.493333333333333,7.066666666666666,245.8,250.46666666666667
2021-05-06,5,2021-05-06,20.533333333333335,15.713333333333333,62.6,1007.1133333333332,175.06666666666666,3.2866666666666666,598.1333333333333,97.86666666666666,523.2
2021-05-07,5,2021-05-07,21.1,16.660000000000004,63.86666666666667,1007.5866666666666,132.73333333333332,3.5733333333333337,604.6666666666666,99.66666666666667,525.0
2021-05-08,5,2021-05-08,20.94666666666667,25.453333333333333,62.666666666666664,1003.6333333333332,235.66666666666666,3.7666666666666666,297.06666666666666,194.2,415.93333333333334
2021-05-09,5,2021-05-09,19.886666666666663,22.77333333333333,66.4,1004.1733333333334,261.8666666666667,5.933333333333334,424.46666666666664,124.93333333333334,475.2
2021-05-10,5,2021-05-10,18.486666666666668,16.946666666666665,62.13333333333333,1007.6133333333332,293.73333333333335,4.753333333333334,436.73333333333335,174.06666666666666,474.73333333333335
2021-05-11,5,2021-05-11,18.44,13.153333333333334,58.0,1011.9000000000001,28.133333333333333,6.153333333333333,602.8,98.6,526.9333333333333
2021-05-12,5,2021-05-12,18.673333333333332,12.466666666666667,57.2,1012.2066666666668,26.466666666666665,5.326666666666666,654.3333333333334,80.13333333333334,546.4666666666667
2021-05-13,5,2021-05-13,19.40666666666667,15.219999999999997,60.333333333333336,1009.6599999999999,23.666666666666668,6.14,511.6,111.86666666666666,499.2
2021-05-14,5,2021-05-14,19.866666666666667,18.959999999999997,67.0,1007.5533333333332,35.266666666666666,6.92,450.4,142.4,496.4
2021-05-15,5,2021-05-15,21.453333333333333,18.866666666666667,61.266666666666666,1005.0666666666667,26.866666666666667,5.353333333333333,329.6666666666667,203.8,469.0
2021-05-16,5,2021-05-16,21.799999999999997,18.406666666666673,64.06666666666666,1004.84,24.266666666666666,6.293333333333333,327.8666666666667,203.0,469.0
2021-05-17,5,2021-05-17,21.19333333333333,16.0,69.8,1008.5133333333332,12.6,4.726666666666666,304.8,170.26666666666668,392.3333333333333
2021-05-18,5,2021-05-18,21.366666666666667,12.82,67.0,1008.62,19.066666666666666,5.579999999999999,541.7333333333333,118.93333333333334,524.8666666666667
2021-05-19,5,2021-05-19,21.886666666666667,15.84,65.86666666666666,1007.7600000000001,27.2,5.473333333333333,624.2,98.73333333333333,541.8666666666667
2021-05-20,5,2021-05-20,23.42,15.893333333333333,59.333333333333336,1006.0466666666667,192.26666666666668,3.2466666666666666,657.3333333333334,88.73333333333333,548.0666666666667
2021-05-21,5,2021-05-21,21.826666666666664,21.413333333333334,67.53333333333333,1005.98,191.2,4.273333333333334,343.2,169.26666666666668,463.46666666666664
2021-05-22,5,2021-05-22,20.533333333333335,25.519999999999992,65.4,1004.9000000000001,15.266666666666667,5.8,121.93333333333334,244.4,338.06666666666666
2021-05-23,5,2021-05-23,18.199999999999996,14.866666666666665,52.4,1011.1999999999997,309.3333333333333,6.213333333333333,474.8666666666667,119.93333333333334,480.0
2021-05-24,5,2021-05-24,18.606666666666666,12.08,57.06666666666667,1011.0799999999999,29.733333333333334,7.5,356.6,186.26666666666668,442.4
2021-05-25,5,2021-05-25,20.07333333333333,18.68,64.93333333333334,1007.2266666666667,229.86666666666667,5.1,95.46666666666667,287.3333333333333,374.2
2021-05-26,5,2021-05-26,21.306666666666665,21.973333333333336,62.93333333333333,1003.6999999999999,247.93333333333334,2.8866666666666663,149.26666666666668,219.93333333333334,316.53333333333336
2021-05-27,5,2021-05-27,21.86666666666667,26.033333333333335,67.13333333333334,1002.8733333333334,213.4,3.7400000000000007,467.73333333333335,155.0,505.46666666666664
